query,named_entity,type
"Looking for songs similar to Something About Us (Daft Punk), Remind Me (Royksopp), Will Do (TV on the Radio) & Imagination (Foster the People); Sad Electric music",remind me,WoA
"Looking for songs similar to Something About Us (Daft Punk), Remind Me (Royksopp), Will Do (TV on the Radio) & Imagination (Foster the People); Sad Electric music",royksopp,Artist
"Looking for songs similar to Something About Us (Daft Punk), Remind Me (Royksopp), Will Do (TV on the Radio) & Imagination (Foster the People); Sad Electric music",will do,WoA
"Looking for songs similar to Something About Us (Daft Punk), Remind Me (Royksopp), Will Do (TV on the Radio) & Imagination (Foster the People); Sad Electric music", tv on the radio,Artist
"Looking for songs similar to Something About Us (Daft Punk), Remind Me (Royksopp), Will Do (TV on the Radio) & Imagination (Foster the People); Sad Electric music",imagination,WoA
"Looking for songs similar to Something About Us (Daft Punk), Remind Me (Royksopp), Will Do (TV on the Radio) & Imagination (Foster the People); Sad Electric music",foster the people,Artist
Searching for Similar Songs or Artists,,
looking for “jungly” music,,
Help me find songs with a similar feel to these,,
Something similar,,
Female Country/Rock,,
"For fans of 70s psychedelia and progressive rock. Think Kansas meets King Crimson, and at the end Grateful Dead crashes the party.",king crimson,Artist
"For fans of 70s psychedelia and progressive rock. Think Kansas meets King Crimson, and at the end Grateful Dead crashes the party.",kansas,Artist
"For fans of 70s psychedelia and progressive rock. Think Kansas meets King Crimson, and at the end Grateful Dead crashes the party.",grateful dead,Artist
Music like Metal Gear Rising's OST?,metal gear risings,WoA
"Dark, unnerving bluesy songs like George Ezra's Spectacular Rival",george ezras,Artist
"Dark, unnerving bluesy songs like George Ezra's Spectacular Rival",spectacular rival,WoA
Grime Artists needed,,
Allman Bros. Live at Fillmore East. Can't get enough of it. Any recs of similar albums/bands?,allman bros,Artist
Allman Bros. Live at Fillmore East. Can't get enough of it. Any recs of similar albums/bands?,at fillmore east,WoA
Camping Music - What else do I add to this ?,,
"recommend music that is instrumental and may have occasional vocals, is low key so you can play it in the background without distracting you, has an otherworldly quality to it",,
Songs that are made for audience participation?,,
"Like Infected Mushroom, but more edgy",infected mushroom,Artist
songs similar to show me love by hundred waters?,show me love,WoA
songs similar to show me love by hundred waters?,hundred waters,Artist
"Newer (2005+) ballads in the style of Toni Braxton's ""Un-Break My Heart"", Jessica Simpson & Nick Lachey's ""Where You Are"", Stevie Wonder's ""All In Love Is Fair""",toni braxtons,Artist
"Newer (2005+) ballads in the style of Toni Braxton's ""Un-Break My Heart"", Jessica Simpson & Nick Lachey's ""Where You Are"", Stevie Wonder's ""All In Love Is Fair""",un break my heart,WoA
"Newer (2005+) ballads in the style of Toni Braxton's ""Un-Break My Heart"", Jessica Simpson & Nick Lachey's ""Where You Are"", Stevie Wonder's ""All In Love Is Fair""",jessica simpson,Artist
"Newer (2005+) ballads in the style of Toni Braxton's ""Un-Break My Heart"", Jessica Simpson & Nick Lachey's ""Where You Are"", Stevie Wonder's ""All In Love Is Fair""",nick lacheys,Artist
"Newer (2005+) ballads in the style of Toni Braxton's ""Un-Break My Heart"", Jessica Simpson & Nick Lachey's ""Where You Are"", Stevie Wonder's ""All In Love Is Fair""",where you are,WoA
"Newer (2005+) ballads in the style of Toni Braxton's ""Un-Break My Heart"", Jessica Simpson & Nick Lachey's ""Where You Are"", Stevie Wonder's ""All In Love Is Fair""",stevie wonders,Artist
"Newer (2005+) ballads in the style of Toni Braxton's ""Un-Break My Heart"", Jessica Simpson & Nick Lachey's ""Where You Are"", Stevie Wonder's ""All In Love Is Fair""",all in love is fair,WoA
"What should my wife listen to if she likes The Regrettes, Le Tigre, Kate Nash and Liz Phair?",kate nash,Artist
"What should my wife listen to if she likes The Regrettes, Le Tigre, Kate Nash and Liz Phair?",the regrettes,Artist
"What should my wife listen to if she likes The Regrettes, Le Tigre, Kate Nash and Liz Phair?",le tigre,Artist
"What should my wife listen to if she likes The Regrettes, Le Tigre, Kate Nash and Liz Phair?",liz phair,Artist
something giving off similar vibes as Reborn from the Heriditary soundtrack?,reborn,WoA
something giving off similar vibes as Reborn from the Heriditary soundtrack?,heriditary,WoA
Bands similar to Audioslave?,audioslave,Artist
"Looking for songs that fit this mood, can you help?",,
suggest any artists/songs/albums with a similar sound to this?,,
"Hey, recommend me artists similar to Adam Lambert?",adam lambert,Artist
Jazz or blues (with sax) pieces that would fit into a heavier genere playlist?,,
Looking for a song like rigamortus by kendrick lamar,rigamortus,WoA
Looking for a song like rigamortus by kendrick lamar,kendrick lamar,Artist
Looking for new artists. Love a singer songwriter/pop or country vibe,,
Rap songs like Love Yourz-J. Cole and 2009-Mac Miller,love yourz,WoA
Rap songs like Love Yourz-J. Cole and 2009-Mac Miller, j cole,Artist
Rap songs like Love Yourz-J. Cole and 2009-Mac Miller,2009,WoA
Rap songs like Love Yourz-J. Cole and 2009-Mac Miller,mac miller,Artist
"Looking for music similar to ""Escape To Hangover"" album by JJY Band",escape to hangover,WoA
"Looking for music similar to ""Escape To Hangover"" album by JJY Band",jjy band,Artist
Sad songs of the 2000s?,,
Recommend me an where to evolve to,,
Songs about (upper) middle class kids that don't know what it's like to be poor,,
Something like the Hearthstone soundtrack?,hearthstone,WoA
Anymore remixes of old songs like this?,,
Similar tunes to 'Tom Zanetti - Eargasm (Aaron Jackson remix)',tom zanetti,Artist
Similar tunes to 'Tom Zanetti - Eargasm (Aaron Jackson remix)',eargasm,WoA
Similar tunes to 'Tom Zanetti - Eargasm (Aaron Jackson remix)',aaron jackson,Artist
synth-heavy dance/electronic with vocals,,
"Looking for songs like ""Squib Cakes"" by Tower of Power",squib cakes,WoA
"Looking for songs like ""Squib Cakes"" by Tower of Power",tower of power,Artist
Anything like Reprieve by Vallis Alps?,reprieve,WoA
Anything like Reprieve by Vallis Alps?,vallis alps,Artist
Similar to: Yves Tumor - The Feeling When You Walk Away,yves tumor,Artist
Similar to: Yves Tumor - The Feeling When You Walk Away,the feeling when you walk away,WoA
Music like Doom (2016) soundtrack.,doom,WoA
Any love country songs?,,
songs similar to Darkie's Banana Pie,darkies,Artist
songs similar to Darkie's Banana Pie,banana pie,WoA
"Similar music to ""Reel Around The Sun"", ""Lord Of The Dance"", ""The Cup of Tea/The Banshee/Hand Me Down The Tackles""",reel around the sun,WoA
"Similar music to ""Reel Around The Sun"", ""Lord Of The Dance"", ""The Cup of Tea/The Banshee/Hand Me Down The Tackles""", lord of the dance,WoA
"Similar music to ""Reel Around The Sun"", ""Lord Of The Dance"", ""The Cup of Tea/The Banshee/Hand Me Down The Tackles""",the cup of tea the banshee hand me down the tackles,WoA
Looking for something with a slow swaggering tune similar too “Some of Adams blues”,some of adams blues,WoA
"Great songs about meaninglessness like ""How To Fight Loneliness"" by Wilco or ""Time"" by Pink Floyd?",how to fight loneliness,WoA
"Great songs about meaninglessness like ""How To Fight Loneliness"" by Wilco or ""Time"" by Pink Floyd?",wilco,Artist
"Great songs about meaninglessness like ""How To Fight Loneliness"" by Wilco or ""Time"" by Pink Floyd?",time,WoA
"Great songs about meaninglessness like ""How To Fight Loneliness"" by Wilco or ""Time"" by Pink Floyd?",pink floyd,Artist
Similar songs like Lilly Wood & The Prick and Robin Schulz - Prayer In C (5th Anniversary Rework),lilly wood & the prick,Artist
Similar songs like Lilly Wood & The Prick and Robin Schulz - Prayer In C (5th Anniversary Rework),robin schulz,Artist
Similar songs like Lilly Wood & The Prick and Robin Schulz - Prayer In C (5th Anniversary Rework),prayer in c,WoA
Looking for more artists that sound like Sucré,sucré,Artist
I'm looking for some chill songs to listen to while just cruising around at night,,
I need indie/rock songs with a huge final climax.,,
Wanting something more contemporary like Guided by Voices,guided by voices,Artist
"Im searching for songs with slow Tempo, prominent basslines, atmosphere...",,
High energy rock/rap with a lot of deep BRASS?,,
Looking for some more reggae/island music groups or artists,,
Looking for some dark songs,,
Metal Please,,
Introspective music,,
suggestions for something similar to this masterpiece? I haven't been able to find anything like it.,,
recommend a song with a similar intro/feel/energy to this song?,,
"Looking for dance, club, trap, edm, dubstep songs with non-melodic, preferably harsh, high-pitched sounds and heavy bass drops.",,
French Accordion Swing Like this,,
Songs that are similar to Goner by Twenty One Pilots.,goner,WoA
Songs that are similar to Goner by Twenty One Pilots.,twenty one pilots,Artist
Suggestions for alternative/indie/rock,,
Artists like Tobi Lou and Kota The Friend,tobi lou,Artist
Artists like Tobi Lou and Kota The Friend,kota the friend,Artist
I need songs like this,,
[request] free royalty free music,,
"Music similar to Fox Stevenson's ""Sweet""",fox stevensons,Artist
"Music similar to Fox Stevenson's ""Sweet""",sweet,WoA
"Looking for very calm, evening autumn-winter music. Sorta folksy and nostalgic.",,
"Songs similar to Elliott Smith's ""Independence Day"" or ""Son of Sam""",elliott smiths,Artist
"Songs similar to Elliott Smith's ""Independence Day"" or ""Son of Sam""",independence day,WoA
"Songs similar to Elliott Smith's ""Independence Day"" or ""Son of Sam""",son of sam,WoA
Uplifting indie/folk/ishh type,,
any suggestions that are more local/not as known songs that will fit this Daria themed playlist?,daria,WoA
Black Magic Boy - Fran Hall,black magic boy,WoA
Black Magic Boy - Fran Hall,fran hall,Artist
Chill/melodic hip-hop,,
Pop songs that HAVE AN ACTUAL HOOK?,,
Suggest me something not too similar or different,,
Songs like Through The Valley and Hurt,through the valley,WoA
Songs like Through The Valley and Hurt,hurt,WoA
"Artists like Newton Faulkner, Or Halestorm ( I like alot of music okay???)",newton faulkner,Artist
"Artists like Newton Faulkner, Or Halestorm ( I like alot of music okay???)",halestorm,Artist
Songs like I Am Me (Haywyre),i am me,WoA
Songs like I Am Me (Haywyre),haywyre,Artist
Looking for music like kyoto by Aso,kyoto,WoA
Looking for music like kyoto by Aso,aso,Artist
"I'm looking for songs with airy/echoey, ghost-like vocals and a lot of guitar.",,
"PLEASE find more of this, this is such smooth funky piano!!!",,
New Artist I Found - Kazi Deyna,kazi deyna,Artist
Artists like Carpenters and Air Supply?,carpenters,Artist
Artists like Carpenters and Air Supply?,air supply,Artist
I am looking for a »drop/scream« similar to the one at 1:27 in the song: sℒen - IT'S NOT LOVE//I GAVE YOU SPACE,sℒen,Artist
I am looking for a »drop/scream« similar to the one at 1:27 in the song: sℒen - IT'S NOT LOVE//I GAVE YOU SPACE, its not love i gave you space,WoA
A love interest took his own life. Emotional songs to help me cope?,,
recommend me music similar to the one in this playlist? i use it for running,,
"Pop, Hip hop, or indie that gives a strong personality I can get hooked onto easily",,
Latin Horns / Guitar With Energy,,
looking for music with a strong beat to vibe to. Would appreciate any suggestions :),,
"Dont listen to a lot of EDM, but I really like Porter Robinsons ""Shelter"", need more songs like it.",porter robinsons,Artist
"Dont listen to a lot of EDM, but I really like Porter Robinsons ""Shelter"", need more songs like it.",shelter,WoA
Workout song suggestions,,
Looking for similar beat,,
Artists similar to Khai Dreams?,khai dreams,Artist
What are some good punk bands that aren't 'grungy'?,,
What music would you give an angsty teen that has a narcissistic personality yet hates him self the most? Something heavy that would be an outlet,,
Best of 2020?,,
Downtempo/trip hop instrumentals?,,
Know of any songs that sound similar to Ceremony by New Order?,ceremony,WoA
Know of any songs that sound similar to Ceremony by New Order?,new order,Artist
Looking for songs similar to this in composition. (Indie/acoustic pop?),,
Some Indie/Alt or Math Rock?,,
Bubble gum R&B?,,
Looking for Epic/Intimidating/Scary/Powerful Choir Music,,
any songs related to sexual tension between two people or about both not being sure whether the other is into them?,,
